2022-05-28 13:31:46.729 init_logger at 2022-05-28 13:31:46.729204
2022-05-28 13:31:51.411 Fourier coefficients generated
2022-05-28 13:31:54.533 Model figures generated successfully.
2022-05-28 13:31:54.571 Model figures generated successfully.
2022-05-28 13:31:54.594 Model figures generated successfully.
2022-05-28 13:31:54.619 Model figures generated successfully.
2022-05-28 13:31:54.882 Model figures generated successfully.
2022-05-28 13:31:54.942 Model figures generated successfully.
2022-05-28 13:31:55.013 Model figures generated successfully.
2022-05-28 13:31:55.047 Model figures generated successfully.
2022-05-28 13:31:55.074 Model figures generated successfully.
2022-05-28 13:31:55.107 Model figures generated successfully.
2022-05-28 13:31:55.193 Model figures generated successfully.
2022-05-28 13:31:55.228 Model figures generated successfully.
2022-05-28 13:31:55.406 Model figures generated successfully.
2022-05-28 13:31:55.472 Model figures generated successfully.
2022-05-28 13:31:55.603 Model figures generated successfully.
2022-05-28 13:31:55.747 Model figures generated successfully.
2022-05-28 13:31:55.844 Model figures generated successfully.
2022-05-28 13:31:55.989 Model figures generated successfully.
2022-05-28 13:31:56.131 Model figures generated successfully.
2022-05-28 13:31:56.189 Model figures generated successfully.
2022-05-28 13:31:56.268 Model figures generated successfully.
2022-05-28 13:31:56.311 Model figures generated successfully.
2022-05-28 13:31:56.402 Model figures generated successfully.
2022-05-28 13:31:56.440 Model figures generated successfully.
2022-05-28 13:31:56.485 Model figures generated successfully.
2022-05-28 13:31:56.549 Model figures generated successfully.
2022-05-28 13:31:56.595 Model figures generated successfully.
2022-05-28 13:31:56.630 Model figures generated successfully.
2022-05-28 13:31:56.661 Model figures generated successfully.
2022-05-28 13:31:56.699 Model figures generated successfully.
2022-05-28 13:31:56.731 Model figures generated successfully.
2022-05-28 13:31:56.794 Model figures generated successfully.
2022-05-28 13:31:56.850 Model figures generated successfully.
2022-05-28 13:31:56.896 Model figures generated successfully.
2022-05-28 13:31:56.951 Model figures generated successfully.
2022-05-28 13:31:57.008 Model figures generated successfully.
2022-05-28 13:31:57.032 Model figures generated successfully.
2022-05-28 13:31:57.133 Model figures generated successfully.
2022-05-28 13:31:57.182 Model figures generated successfully.
2022-05-28 13:31:57.246 Model figures generated successfully.
2022-05-28 13:31:57.297 Model figures generated successfully.
2022-05-28 13:31:57.377 Model figures generated successfully.
2022-05-28 13:31:57.434 Model figures generated successfully.
2022-05-28 13:31:57.466 Model figures generated successfully.
2022-05-28 13:31:57.561 Model figures generated successfully.
2022-05-28 13:31:57.655 Model figures generated successfully.
2022-05-28 13:31:57.718 Model figures generated successfully.
2022-05-28 13:31:57.772 Model figures generated successfully.
2022-05-28 13:31:57.805 Model figures generated successfully.
2022-05-28 13:31:57.865 Model figures generated successfully.
2022-05-28 13:31:57.977 Model figures generated successfully.
2022-05-28 13:31:58.200 Model figures generated successfully.
2022-05-28 13:31:58.327 Model figures generated successfully.
